"Nombre","Descripcion","Imagen","Pais","Habitantes","Web"
"Barcelona","Barcelona es una ciudad española, capital de la provincia homónima y de la Comunidad Autónoma de Cataluña. Con una población de 1.619.337 habitantes en 20105 es la segunda ciudad más poblada de España, tras Madrid, y la undécima de la Unión Europea. El Área metropolitana de Barcelona, incluida en la Región urbana de Barcelona, cuenta con 5.012.961 habitantes (2010), haciéndola la sexta más poblada de la Unión Europea.
Se ubica a orillas del mar Mediterráneo, unos 120 km al sur de la cadena montañosa de los Pirineos y de la frontera con Francia, en una llanura limitada por el mar al este, la Sierra de Collserola al oeste, el río Llobregat al sur y el río Besós al norte. Por haber sido capital del Condado de Barcelona, se suele aludir a ella con la denominación de Ciudad Condal.","http://upload.wikimedia.org/wikipedia/commons/6/6d/Sagrada_Familia_1.jpg","España",1619337,"http://www.bcn.es"
"Madrid","Madrid es la capital de España1 y de la Comunidad de Madrid, comunidad autónoma uniprovincial. También conocida como la Villa y Corte, es la ciudad más grande y poblada del país, alcanzando oficialmente y según el padrón de habitantes a 1 de enero de 2010 los 3.273.049 habitantes en su municipio, y la corrección a final de año del ayuntamiento, cifra oficiosa hasta ser aprobada en el congreso a finales de ese año es de 3.284.110, mientras que la cifra de población incluida su área metropolitana asciende a 6.043.031 habitantes según AUDES, siendo por ello la tercera ciudad más poblada de la Unión Europea —por detrás de Berlín y Londres— y la tercera área metropolitana, por detrás de las de París y Londres.","http://upload.wikimedia.org/wikipedia/commons/5/55/Edificio_Metr%C3%B3polis_%28Madrid%29_03.jpg","España",3273049,"http://www.madrid.es/"
"Sevilla","Sevilla es un municipio y ciudad española, capital de la provincia homónima y de la comunidad autónoma de Andalucía. Ostenta los títulos de ""Muy Noble, Muy Leal, Muy Heroica, Invicta y Mariana Ciudad de Sevilla"". Sevilla contaba en 2010 con 704.198 habitantes (INE, 2010), siendo la cuarta ciudad de España por población después de Madrid, Barcelona y Valencia. El municipio tiene una extensión de 140,8 km2. El área metropolitana de Sevilla está compuesta por 46 municipios e incluye a una población de 1.508.605 habitantes (INE, 2010), ocupando una superficie de 4.900 km2.
Su casco histórico es uno de los más extensos de España, con aproximadamente 335 ha. Su patrimonio histórico y monumental y sus diversos espacios escénicos y culturales la convierten en una ciudad receptora de turismo nacional e internacional. Entre sus monumentos más representativos se encuentran la Giralda, la Catedral, el Alcázar, el Archivo de Indias y la Torre del Oro. Algunos de estos monumentos fueron declarados Patrimonio de la Humanidad por la Unesco en 1987. El Museo de Bellas Artes de Sevilla es el museo más visitado de Andalucía y la segunda pinacoteca más importante de España.","http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Giralda_de_Sevilla_5.jpg/450px-Giralda_de_Sevilla_5.jpg","España",704198,"http://www.sevilla.org/"
"Nueva York","Nueva York (en inglés y oficialmente, New York City) es la ciudad más poblada del Estado de Nueva York, de los Estados Unidos de América y la segunda aglomeración urbana del continente. Es el centro del área metropolitana de Nueva York, la cual está entre las aglomeraciones urbanas más grandes del mundo. Durante más de un siglo, ha sido uno de los principales centros mundiales de comercio y finanzas. Nueva York está considerada como una ciudad global dadas sus influencias a nivel mundial en los medios de comunicación, política, educación, entretenimiento y moda. La influencia artística y cultural de la ciudad es de las más fuertes del país. Además, en ella se encuentra la sede central de la Organización de las Naciones Unidas, lo que la convierte en un importante punto de las relaciones internacionales.","http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/New_York_from_Empire_State_Building.jpg/800px-New_York_from_Empire_State_Building.jpg","Estados Unidos",8175133,"http://nyc.gov/"
"Bruselas","Bruselas (Bruxelles [bʁyˈsɛl] en francés, Brussel en neerlandés, Brüssel en alemán), es la capital de Bélgica, y la principal sede administrativa de la Unión Europea (UE).
Bruselas es también la capital de la Región de Bruselas-Capital, de la Región Flamenca y de las comunidades flamenca y francesa de Bélgica. Es también sede de la Comisión Europea, del Consejo Europeo y una de las dos sedes del Parlamento Europeo. La ciudad también es la sede política de la Organización del Tratado del Atlántico Norte (OTAN).
El nombre oficial es Ciudad de Bruselas (en francés Ville de Bruxelles o Bruxelles-ville, en neerlandés Brussel-stad). Se utiliza para evitar la confusión entre el municipio y la región.","http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/2005_manneke_pis05.jpg/449px-2005_manneke_pis05.jpg","Belgica",157673,"http://www.brucity.be/"
"París","París (en francés Paris, pronunciado [paʁi] (?·i)) es la capital de Francia y de la región de Isla de Francia. Constituida en la única comuna unidepartamental del país, está situada a ambos márgenes de un largo meandro del río Sena, en el centro de la Cuenca parisina, entre la confluencia del río Marne y el Sena aguas arriba, y el Oise y el Sena aguas abajo.
La ciudad de París dentro de sus estrechos límites administrativos tiene una población de 2.193.031 habitantes (2007). Sin embargo, durante el siglo XX, el área metropolitana de París se expandió más allá de los límites del municipio de París, y es hoy en día la tercera ciudad más grande del continente europeo, con una población de 11.836.970 habitantes (2007).","http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Panorama_Paris_December_2007.jpg/800px-Panorama_Paris_December_2007.jpg","Francia",2193031,"http://www.paris.fr/"
"Londres","Londres (London en inglés) es la capital de Inglaterra y del Reino Unido. Situada a orillas del río Támesis en el sureste de la isla de Gran Bretaña, su establecimiento se data más de dos milenios atrás, fue fundada alrededor del año 43 por los romanos con el nombre de Londinium. El corazón de la ciudad, la antigua City de Londres, todavía conserva sus límites medievales, pero, al menos, a partir del siglo XIX, el nombre de ""Londres"" también ha denominado a la metrópoli que ha crecido a su alrededor. Actualmente, esta aglomeración conurbana forma la región de Londres de Inglaterra y el área administrativa del Gran Londres, con su propio alcalde y asamblea.
En el Gran Londres se encuentran cuatro lugares distinguidos como Patrimonio de la Humanidad: la Torre de Londres; el asentamiento de Greenwich; el Real Jardín Botánico de Kew; y el lugar comprendido por el Palacio de Westminster, Abadía de Westminster y la Iglesia de Santa Margarita.","http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Houses.of.parliament.overall.arp.jpg/799px-Houses.of.parliament.overall.arp.jpg","Reino Unido",7556900,"http://www.london.gov.uk/"
"Ciudad de México","La Ciudad de México o Distrito Federal es la capital y sede de los poderes federales de los Estados Unidos Mexicanos, constituye una de sus 32 entidades federativas y forma con la Zona Metropolitana del Valle de México la aglomeración urbana más poblada de América y una de las más pobladas del mundo.
La superficie del Distrito Federal ocupa poco más de 1 400 kilómetros cuadrados, la décima parte de la cuenca de México. En 2010 vivían ahí más de 8 millones de habitantes, por lo que la capital es la segunda entidad federativa mexicana con mayor población, después del estado de México.
El ingreso per cápita del Distrito Federal ascendía en 2008 a 281.110 pesos mexicanos, lo cual equivalía en dólares nominales de septiembre de 2008 a 25.258 dólares.","http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Mexico_City_Palacio_de_bellas_artes.jpg/800px-Mexico_City_Palacio_de_bellas_artes.jpg","Mexico",8851080,"http://www.df.gob.mx/"
"Lima","Lima (del quechua Limaq) es la ciudad capital de la República del Perú. Se encuentra situada en la costa central del país, a orillas del océano Pacífico, conformando una extensa y populosa área urbana conocida como Lima Metropolitana, flanqueada por el desierto costero y extendida sobre los valles de los ríos Chillón, Rímac y Lurín. En 2007, Lima Metropolitana contaba con más de 8,5 millones de habitantes,3 el 30% de la población peruana, cifras que la convierten en la ciudad más poblada del país.
El 18 de enero de 1535, se efectuó la fundación española con el nombre de la Ciudad de los Reyes en la región agrícola conocida por los indígenas como Limaq, nombre que adquirió con el tiempo. Fue la capital del Virreinato del Perú y la más grande e importante ciudad de América del Sur durante el régimen español. Después de la Independencia pasó a ser la capital de la República.","http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Municipalidad_de_Lima.JPG/800px-Municipalidad_de_Lima.JPG","Peru",7605742,"http://www.munlima.gob.pe/"
"La Paz","Nuestra Señora de La Paz es una ciudad del noroeste de Bolivia, capital del departamento de La Paz y sede del Gobierno boliviano, aunque el título oficial de capital según la Constitución Política del Estado le corresponde a Sucre. El censo de 20011 reportó una población de 1.552.156 habitantes en toda el área metropolitana de La Paz incluyendo la ciudad de El Alto. La población estimada del año 2010 del área metropolitana es de 2.030.422 habitantes y, sin incluir a El Alto, de 1.184.942 habitantes.
El centro de la ciudad está aproximadamente a 3.650 msnm (metros sobre el nivel del mar) y forma, junto con la ciudad de El Alto, el primer núcleo urbano más grande y poblado de Bolivia.","http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plaza_del_Estudiante_La_Paz_Bolivia.jpg/800px-Plaza_del_Estudiante_La_Paz_Bolivia.jpg","Bolivia",845480,"http://www.lapaz.bo/"
"Buenos Aires","La Ciudad de Buenos Aires o Ciudad Autónoma de Buenos Aires, también llamada Capital Federal por ser sede del gobierno federal,nota 1 es la capital de la República Argentina. Está situada en la región centro-este del país, sobre la orilla occidental del Río de la Plata, en plena llanura pampeana. Los resultados provisionales del censo de 2010 estiman la población de la ciudad en 2.891.082 habitantes y en su aglomerado urbano, el Gran Buenos Aires, en 12.801.364 habitantes; siendo la mayor área urbana del país, la segunda de Sudamérica y una de las veinte mayores ciudades del mundo. El ejido urbano se asemeja a un abanico que limita al sur, oeste y norte con la provincia de Buenos Aires y al este con el río. Oficialmente la ciudad se encuentra dividida en 48 barrios que derivan, los más antiguos, de las parroquias establecidas en el siglo XIX. La metrópolis es una ciudad autónoma que constituye uno de los 24 distritos en los que se divide el país. Tiene sus propios poderes ejecutivo, legislativo y judicial, además de su propia policía.","http://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Diagonal_Sur_Buenos_Aires_2011-02-11.jpg/800px-Diagonal_Sur_Buenos_Aires_2011-02-11.jpg","Argentina",2891082,"http://www.buenosaires.gob.ar/"
